timestamp,body_index,joint_name,pos_x,pos_y,pos_z
1764697660.7423744,0,pelvis,153.70164489746094,-43.05646896362305,1095.1512451171875
1764697660.7423744,0,spine - navel,137.8989715576172,-223.52076721191406,1117.1168212890625
1764697660.7423744,0,spine - chest,132.09393310546875,-369.20111083984375,1122.22021484375
1764697660.7423744,0,neck,138.93084716796875,-590.6401977539062,1107.0186767578125
1764697660.7423744,0,left clavicle,168.76687622070312,-554.44384765625,1124.7142333984375
1764697660.7423744,0,left shoulder,298.9444274902344,-492.5552978515625,1149.2794189453125
1764697660.7423744,0,left elbow,353.4202575683594,-216.45074462890625,1175.6051025390625
1764697660.7423744,0,left wrist,387.61322021484375,17.10653305053711,1151.886962890625
1764697660.7423744,0,left hand,429.9613037109375,106.01036071777344,1149.9881591796875
1764697660.7423744,0,left handtip,394.4672546386719,210.65330505371094,1147.6668701171875
1764697660.7423744,0,left thumb,364.2832946777344,160.26324462890625,1122.166259765625
1764697660.7423744,0,right clavicle,106.05435943603516,-553.8202514648438,1096.3436279296875
1764697660.7423744,0,right shoulder,0.005945563316345215,-508.24676513671875,1027.2703857421875
1764697660.7423744,0,right elbow,-48.17655563354492,-224.35450744628906,1021.830078125
1764697660.7423744,0,right wrist,-1.7712488174438477,0.5199909210205078,951.171630859375
1764697660.7423744,0,right hand,-9.901323318481445,106.2002182006836,954.6430053710938
1764697660.7423744,0,right handtip,-46.71687698364258,207.53076171875,968.0106811523438
1764697660.7423744,0,right thumb,8.550074577331543,105.11133575439453,983.34130859375
1764697660.7423744,0,left hip,235.39215087890625,-44.736328125,1140.1202392578125
1764697660.7423744,0,left knee,380.08404541015625,317.8419189453125,1016.5225219726562
1764697660.7423744,0,left ankle,319.6612243652344,697.620361328125,1089.067626953125
1764697660.7423744,0,left foot,400.6680603027344,835.2041625976562,983.1122436523438
1764697660.7423744,0,right hip,80.03773498535156,-41.541664123535156,1054.6005859375
1764697660.7423744,0,right knee,144.46875,306.6148376464844,849.783447265625
1764697660.7423744,0,right ankle,113.72429656982422,693.6634521484375,924.8333129882812
1764697660.7423744,0,right foot,149.86166381835938,816.9562377929688,804.108154296875
1764697660.7423744,0,head,147.11416625976562,-671.7981567382812,1088.920166015625
1764697660.7423744,0,nose,199.44522094726562,-686.7678833007812,933.8341064453125
1764697660.7423744,0,left eye,209.9783935546875,-730.484375,969.2684936523438
1764697660.7423744,0,left ear,226.4130401611328,-743.4220581054688,1097.2386474609375
1764697660.7423744,0,right eye,161.6360321044922,-720.728515625,948.5859985351562
1764697660.7423744,0,right ear,66.5210189819336,-726.986083984375,1042.787109375
1764697661.0418603,0,pelvis,127.67455291748047,-63.05585861206055,1201.9447021484375
